"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Screenshot and Visual comparison","","2025-12-19","skipped","2025-12-19","","Morevalidations.spec.js","",""
"","1895","@Web Visual testing with Playwright","","2025-12-19","failed","2025-12-19","","Morevalidations.spec.js","",""
"","7885","Calender validations","","2025-12-19","passed","2025-12-19","","Calender.spec.js","",""
"","16111","@Web Client App login","","2025-12-19","passed","2025-12-19","","Clientappotherway.spec.js","",""
"","1","@API Place the order","","2025-12-19","failed","2025-12-19","","NetworkTest.spec.js","",""
"","6907","Handling Child Windows and Tabs","","2025-12-19","passed","2025-12-19","","UIBasics.spec.js","",""
"","5360","Upload download excel validation","","2025-12-19","failed","2025-12-19","","excelreadwrite.spec.js","",""
"","10563","Client App login - ZARA COAT 3","","2025-12-21","passed","2025-12-21","","ClientappPageObjects.spec.js","",""
"","5946","Playwright Special Locators Demo","","2025-12-19","passed","2025-12-19","","Speciallocators.spec.js","",""
"","7788","Client App login - with fixture","","2025-12-21","passed","2025-12-21","","ClientappPageObjects.spec.js","",""
"","40219","@Web Client App login","","2025-12-19","broken","2025-12-19","","WebAPi2.spec.js","",""
"","9494941","@Web Pop up Validations test","","2025-12-19","failed","2025-12-19","","Morevalidations.spec.js","",""
"","18447","@Web Client App login","","2025-12-19","passed","2025-12-19","","Clientapp.spec.js","",""
"","270268","Security test request Intercept","","2025-12-19","passed","2025-12-19","","Networktest2.spec.js","",""
"","4432","Browser context playwright test","","2025-12-19","passed","2025-12-19","","UIBasics.spec.js","",""
"","9802","Client App login - ADIDAS ORIGINAL","","2025-12-21","passed","2025-12-21","","ClientappPageObjects.spec.js","",""
"","4036","UI Controls test","","2025-12-19","passed","2025-12-19","","UIBasics.spec.js","",""
"","5542","Login Test","","2025-12-19","passed","2025-12-19","","UIBasics.spec.js","",""
"","2","@API Place the order","","2025-12-19","failed","2025-12-19","","WebAPI.spec.js","",""
